"Date","SPY","QQQ","IWM","VEA","VWO","AGG","TLT","LQD","VNQ","GLD"
2023-05-22,403.004089355469,331.755310058594,171.997604370117,42.1254692077637,36.5121879577637,87.9586563110352,89.4380722045898,93.7293548583984,71.6522064208984,183.210006713867
2023-05-23,398.481292724609,327.549865722656,171.187118530273,41.5358581542969,35.9665489196777,88.0574417114258,89.6955413818359,93.9228439331055,70.97900390625,183.429992675781
2023-05-24,395.594360351562,325.869750976562,169.373123168945,40.9462394714355,35.7119178771973,87.8330307006836,89.2516479492188,93.5534744262695,69.4554214477539,181.949996948242
2023-05-25,399.020141601562,333.799102783203,168.051300048828,40.8555335998535,35.6482620239258,87.5098724365234,89.0296936035156,93.2456359863281,69.4465789794922,180.199996948242
2023-05-26,404.187713623047,342.327789306641,169.961730957031,41.236515045166,36.2393646240234,87.581672668457,89.7488250732422,93.6414031982422,70.2437973022461,180.919998168945
2023-05-30,404.341705322266,343.880249023438,169.334518432617,40.8827514648438,35.7664794921875,88.1651458740234,90.6455078125,94.3450241088867,70.509521484375,182.039993286133
2023-05-31,402.099578857422,341.924926757812,167.665344238281,40.4836349487305,35.511848449707,88.4793319702148,91.4356689453125,94.6528549194336,70.8638687133789,182.320007324219
2023-06-01,405.919860839844,345.874847412109,169.479278564453,41.1095199584961,36.1211395263672,88.7474975585938,91.7943878173828,94.9431610107422,70.8726959228516,183.759994506836
2023-06-02,411.789978027344,348.468872070312,175.625503540039,41.71728515625,36.6940612792969,88.2795104980469,90.7884902954102,94.6872787475586,72.6000137329102,181.050003051758
2023-06-05,411.000885009766,348.714477539062,173.271224975586,41.4542236328125,36.6576843261719,88.2705230712891,90.619384765625,94.4843444824219,72.0951156616211,182.139999389648
2023-06-06,411.895843505859,348.655548095703,177.835067749023,41.8170585632324,36.9395980834961,88.3785247802734,91.1534957885742,94.6696090698242,72.7860336303711,182.339996337891
2023-06-07,410.471557617188,342.740478515625,181.162460327148,41.4179344177246,36.8577461242676,87.9105529785156,89.8003921508789,93.8225402832031,74.1236038208008,180.149993896484
2023-06-08,412.954315185547,346.994964599609,180.485137939453,41.8442726135254,37.0578193664551,88.3785247802734,90.8507995605469,94.4490203857422,73.6629791259766,182.529998779297
2023-06-09,413.6953125,348.321533203125,179.024169921875,41.8261337280273,37.1578598022461,88.1715393066406,90.7261734008789,94.2019577026367,73.2378005981445,182.039993286133
2023-06-12,417.448272705078,354.207000732422,179.769180297852,42.0166168212891,37.2487983703613,88.3245010375977,90.9932250976562,94.5019683837891,73.255500793457,181.880004882812
2023-06-13,420.200500488281,356.928833007812,181.830017089844,42.4248161315918,37.5579872131348,87.9105529785156,90.0941543579102,94.0784301757812,73.724983215332,180.539993286133
